,year,mes,Día,1.Dólar observado
366,2001,1,1,
367,2001,1,2,573.65
368,2001,1,3,574.19
369,2001,1,4,575.94
370,2001,1,5,571.44
371,2001,1,6,
372,2001,1,7,
373,2001,1,8,572.66
374,2001,1,9,574.06
375,2001,1,10,574.49
376,2001,1,11,574.54
377,2001,1,12,572.84
378,2001,1,13,
379,2001,1,14,
380,2001,1,15,572.38
381,2001,1,16,573.62
382,2001,1,17,572.87
383,2001,1,18,572.24
384,2001,1,19,572.01
385,2001,1,20,
386,2001,1,21,
387,2001,1,22,571.98
388,2001,1,23,568.44
389,2001,1,24,566.86
390,2001,1,25,567.56
391,2001,1,26,567.72
392,2001,1,27,
393,2001,1,28,
394,2001,1,29,566.34
395,2001,1,30,565.11
396,2001,1,31,563.62
397,2001,2,1,561.61
398,2001,2,2,562.68
399,2001,2,3,
400,2001,2,4,
401,2001,2,5,563.85
402,2001,2,6,564.58
403,2001,2,7,563.36
404,2001,2,8,561.77
405,2001,2,9,561.0
406,2001,2,10,
407,2001,2,11,
408,2001,2,12,559.31
409,2001,2,13,558.69
410,2001,2,14,557.13
411,2001,2,15,558.63
412,2001,2,16,561.59
413,2001,2,17,
414,2001,2,18,
415,2001,2,19,563.15
416,2001,2,20,563.06
417,2001,2,21,562.04
418,2001,2,22,564.62
419,2001,2,23,568.19
420,2001,2,24,
421,2001,2,25,
422,2001,2,26,571.88
423,2001,2,27,568.23
424,2001,2,28,567.21
425,2001,3,1,572.86
426,2001,3,2,573.91
427,2001,3,3,
428,2001,3,4,
429,2001,3,5,576.8
430,2001,3,6,588.86
431,2001,3,7,588.12
432,2001,3,8,588.09
433,2001,3,9,588.18
434,2001,3,10,
435,2001,3,11,
436,2001,3,12,594.2
437,2001,3,13,594.7
438,2001,3,14,588.76
439,2001,3,15,588.43
440,2001,3,16,585.76
441,2001,3,17,
442,2001,3,18,
443,2001,3,19,591.09
444,2001,3,20,589.47
445,2001,3,21,585.57
446,2001,3,22,586.13
447,2001,3,23,590.56
448,2001,3,24,
449,2001,3,25,
450,2001,3,26,595.37
451,2001,3,27,589.74
452,2001,3,28,590.55
453,2001,3,29,591.23
454,2001,3,30,592.91
455,2001,3,31,
456,2001,4,1,
457,2001,4,2,594.97
458,2001,4,3,595.99
459,2001,4,4,598.06
460,2001,4,5,597.16
461,2001,4,6,595.64
462,2001,4,7,
463,2001,4,8,
464,2001,4,9,595.01
465,2001,4,10,595.39
466,2001,4,11,595.5
467,2001,4,12,594.94
468,2001,4,13,
469,2001,4,14,
470,2001,4,15,
471,2001,4,16,598.42
472,2001,4,17,600.52
473,2001,4,18,600.91
474,2001,4,19,598.1
475,2001,4,20,596.77
476,2001,4,21,
477,2001,4,22,
478,2001,4,23,602.02
479,2001,4,24,602.88
480,2001,4,25,602.42
481,2001,4,26,605.31
482,2001,4,27,602.66
483,2001,4,28,
484,2001,4,29,
485,2001,4,30,599.89
486,2001,5,1,
487,2001,5,2,598.61
488,2001,5,3,602.53
489,2001,5,4,602.35
490,2001,5,5,
491,2001,5,6,
492,2001,5,7,601.4
493,2001,5,8,600.44
494,2001,5,9,601.66
495,2001,5,10,603.98
496,2001,5,11,602.58
497,2001,5,12,
498,2001,5,13,
499,2001,5,14,603.2
500,2001,5,15,605.26
501,2001,5,16,605.55
502,2001,5,17,605.71
503,2001,5,18,606.74
504,2001,5,19,
505,2001,5,20,
506,2001,5,21,
507,2001,5,22,606.53
508,2001,5,23,605.83
509,2001,5,24,605.95
510,2001,5,25,605.44
511,2001,5,26,
512,2001,5,27,
513,2001,5,28,605.95
514,2001,5,29,606.15
515,2001,5,30,607.65
516,2001,5,31,610.53
517,2001,6,1,610.85
518,2001,6,2,
519,2001,6,3,
520,2001,6,4,612.57
521,2001,6,5,608.29
522,2001,6,6,606.84
523,2001,6,7,606.6
524,2001,6,8,608.17
525,2001,6,9,
526,2001,6,10,
527,2001,6,11,
528,2001,6,12,607.63
529,2001,6,13,610.44
530,2001,6,14,613.48
531,2001,6,15,613.49
532,2001,6,16,
533,2001,6,17,
534,2001,6,18,614.2
535,2001,6,19,619.84
536,2001,6,20,623.49
537,2001,6,21,622.96
538,2001,6,22,622.6
539,2001,6,23,
540,2001,6,24,
541,2001,6,25,622.27
542,2001,6,26,623.0
543,2001,6,27,623.19
544,2001,6,28,624.89
545,2001,6,29,626.65
546,2001,6,30,
547,2001,7,1,
548,2001,7,2,
549,2001,7,3,629.0
550,2001,7,4,632.09
551,2001,7,5,640.44
552,2001,7,6,647.08
553,2001,7,7,
554,2001,7,8,
555,2001,7,9,646.64
556,2001,7,10,641.59
557,2001,7,11,646.23
558,2001,7,12,664.57
559,2001,7,13,670.74
560,2001,7,14,
561,2001,7,15,
562,2001,7,16,667.91
563,2001,7,17,668.86
564,2001,7,18,662.28
565,2001,7,19,656.09
566,2001,7,20,667.07
567,2001,7,21,
568,2001,7,22,
569,2001,7,23,663.21
570,2001,7,24,659.8
571,2001,7,25,660.78
572,2001,7,26,664.14
573,2001,7,27,664.98
574,2001,7,28,
575,2001,7,29,
576,2001,7,30,667.69
577,2001,7,31,664.38
578,2001,8,1,668.79
579,2001,8,2,677.79
580,2001,8,3,676.47
581,2001,8,4,
582,2001,8,5,
583,2001,8,6,672.66
584,2001,8,7,674.33
585,2001,8,8,677.26
586,2001,8,9,679.9
587,2001,8,10,678.92
588,2001,8,11,
589,2001,8,12,
590,2001,8,13,680.2
591,2001,8,14,683.85
592,2001,8,15,
593,2001,8,16,688.88
594,2001,8,17,690.99
595,2001,8,18,
596,2001,8,19,
597,2001,8,20,678.59
598,2001,8,21,677.15
599,2001,8,22,673.42
600,2001,8,23,668.21
601,2001,8,24,665.9
602,2001,8,25,
603,2001,8,26,
604,2001,8,27,664.58
605,2001,8,28,663.23
606,2001,8,29,662.44
607,2001,8,30,657.34
608,2001,8,31,660.57
609,2001,9,1,
610,2001,9,2,
611,2001,9,3,
612,2001,9,4,661.97
613,2001,9,5,663.47
614,2001,9,6,665.32
615,2001,9,7,666.58
616,2001,9,8,
617,2001,9,9,
618,2001,9,10,665.89
619,2001,9,11,667.34
620,2001,9,12,685.87
621,2001,9,13,678.76
622,2001,9,14,679.41
623,2001,9,15,
624,2001,9,16,
625,2001,9,17,689.01
626,2001,9,18,
627,2001,9,19,
628,2001,9,20,693.92
629,2001,9,21,695.21
630,2001,9,22,
631,2001,9,23,
632,2001,9,24,694.98
633,2001,9,25,691.0
634,2001,9,26,691.26
635,2001,9,27,694.89
636,2001,9,28,696.23
637,2001,9,29,
638,2001,9,30,
639,2001,10,1,695.02
640,2001,10,2,695.78
641,2001,10,3,695.87
642,2001,10,4,697.62
643,2001,10,5,701.73
644,2001,10,6,
645,2001,10,7,
646,2001,10,8,708.19
647,2001,10,9,713.55
648,2001,10,10,713.88
649,2001,10,11,714.99
650,2001,10,12,706.11
651,2001,10,13,
652,2001,10,14,
653,2001,10,15,
654,2001,10,16,707.32
655,2001,10,17,707.69
656,2001,10,18,703.12
657,2001,10,19,708.22
658,2001,10,20,
659,2001,10,21,
660,2001,10,22,713.73
661,2001,10,23,711.92
662,2001,10,24,707.65
663,2001,10,25,712.35
664,2001,10,26,714.72
665,2001,10,27,
666,2001,10,28,
667,2001,10,29,715.47
