,year,mes,Día,1.Dólar observado
2557,1997,1,1,
2558,1997,1,2,424.87
2559,1997,1,3,424.29
2560,1997,1,4,
2561,1997,1,5,
2562,1997,1,6,424.41
2563,1997,1,7,425.41
2564,1997,1,8,424.34
2565,1997,1,9,425.29
2566,1997,1,10,425.17
2567,1997,1,11,
2568,1997,1,12,
2569,1997,1,13,425.18
2570,1997,1,14,425.45
2571,1997,1,15,425.34
2572,1997,1,16,425.75
2573,1997,1,17,425.26
2574,1997,1,18,
2575,1997,1,19,
2576,1997,1,20,425.89
2577,1997,1,21,427.94
2578,1997,1,22,421.95
2579,1997,1,23,422.13
2580,1997,1,24,422.22
2581,1997,1,25,
2582,1997,1,26,
2583,1997,1,27,421.69
2584,1997,1,28,420.75
2585,1997,1,29,420.55
2586,1997,1,30,420.07
2587,1997,1,31,419.5
2588,1997,2,1,
2589,1997,2,2,
2590,1997,2,3,420.11
2591,1997,2,4,419.64
2592,1997,2,5,419.23
2593,1997,2,6,419.07
2594,1997,2,7,418.53
2595,1997,2,8,
2596,1997,2,9,
2597,1997,2,10,417.75
2598,1997,2,11,417.39
2599,1997,2,12,417.41
2600,1997,2,13,416.8
2601,1997,2,14,416.19
2602,1997,2,15,
2603,1997,2,16,
2604,1997,2,17,415.98
2605,1997,2,18,415.96
2606,1997,2,19,416.15
2607,1997,2,20,414.81
2608,1997,2,21,413.09
2609,1997,2,22,
2610,1997,2,23,
2611,1997,2,24,413.31
2612,1997,2,25,413.44
2613,1997,2,26,413.57
2614,1997,2,27,412.89
2615,1997,2,28,412.51
2616,1997,3,1,
2617,1997,3,2,
2618,1997,3,3,413.13
2619,1997,3,4,413.63
2620,1997,3,5,414.39
2621,1997,3,6,414.59
2622,1997,3,7,414.78
2623,1997,3,8,
2624,1997,3,9,
2625,1997,3,10,414.27
2626,1997,3,11,414.1
2627,1997,3,12,413.64
2628,1997,3,13,412.99
2629,1997,3,14,412.38
2630,1997,3,15,
2631,1997,3,16,
2632,1997,3,17,413.59
2633,1997,3,18,413.08
2634,1997,3,19,413.38
2635,1997,3,20,413.22
2636,1997,3,21,413.47
2637,1997,3,22,
2638,1997,3,23,
2639,1997,3,24,414.9
2640,1997,3,25,415.62
2641,1997,3,26,415.83
2642,1997,3,27,415.28
2643,1997,3,28,
2644,1997,3,29,
2645,1997,3,30,
2646,1997,3,31,414.79
2647,1997,4,1,415.69
2648,1997,4,2,416.07
2649,1997,4,3,416.39
2650,1997,4,4,416.17
2651,1997,4,5,
2652,1997,4,6,
2653,1997,4,7,416.89
2654,1997,4,8,416.7
2655,1997,4,9,417.12
2656,1997,4,10,418.25
2657,1997,4,11,418.8
2658,1997,4,12,
2659,1997,4,13,
2660,1997,4,14,419.29
2661,1997,4,15,418.45
2662,1997,4,16,417.88
2663,1997,4,17,417.9
2664,1997,4,18,417.8
2665,1997,4,19,
2666,1997,4,20,
2667,1997,4,21,416.84
2668,1997,4,22,417.13
2669,1997,4,23,417.91
2670,1997,4,24,418.26
2671,1997,4,25,417.92
2672,1997,4,26,
2673,1997,4,27,
2674,1997,4,28,418.01
2675,1997,4,29,418.41
2676,1997,4,30,418.88
2677,1997,5,1,
2678,1997,5,2,419.09
2679,1997,5,3,
2680,1997,5,4,
2681,1997,5,5,418.04
2682,1997,5,6,418.05
2683,1997,5,7,418.08
2684,1997,5,8,418.1
2685,1997,5,9,418.0
2686,1997,5,10,
2687,1997,5,11,
2688,1997,5,12,417.99
2689,1997,5,13,417.76
2690,1997,5,14,418.59
2691,1997,5,15,418.83
2692,1997,5,16,418.48
2693,1997,5,17,
2694,1997,5,18,
2695,1997,5,19,418.47
2696,1997,5,20,418.84
2697,1997,5,21,
2698,1997,5,22,419.02
2699,1997,5,23,418.91
2700,1997,5,24,
2701,1997,5,25,
2702,1997,5,26,419.39
2703,1997,5,27,419.53
2704,1997,5,28,419.37
2705,1997,5,29,
2706,1997,5,30,419.03
2707,1997,5,31,
2708,1997,6,1,
2709,1997,6,2,418.92
2710,1997,6,3,419.07
2711,1997,6,4,418.64
2712,1997,6,5,418.66
2713,1997,6,6,418.52
2714,1997,6,7,
2715,1997,6,8,
2716,1997,6,9,418.28
2717,1997,6,10,417.91
2718,1997,6,11,417.78
2719,1997,6,12,417.17
2720,1997,6,13,416.61
2721,1997,6,14,
2722,1997,6,15,
2723,1997,6,16,416.37
2724,1997,6,17,415.83
2725,1997,6,18,416.74
2726,1997,6,19,416.77
2727,1997,6,20,417.16
2728,1997,6,21,
2729,1997,6,22,
2730,1997,6,23,417.1
2731,1997,6,24,417.23
2732,1997,6,25,417.27
2733,1997,6,26,417.06
2734,1997,6,27,416.57
2735,1997,6,28,
2736,1997,6,29,
2737,1997,6,30,416.06
2738,1997,7,1,416.47
2739,1997,7,2,416.27
2740,1997,7,3,415.85
2741,1997,7,4,415.83
2742,1997,7,5,
2743,1997,7,6,
2744,1997,7,7,416.3
2745,1997,7,8,416.36
2746,1997,7,9,416.5
2747,1997,7,10,416.74
2748,1997,7,11,416.35
2749,1997,7,12,
2750,1997,7,13,
2751,1997,7,14,416.12
2752,1997,7,15,416.59
2753,1997,7,16,416.36
2754,1997,7,17,416.91
2755,1997,7,18,416.62
2756,1997,7,19,
2757,1997,7,20,
2758,1997,7,21,417.04
2759,1997,7,22,417.07
2760,1997,7,23,417.19
2761,1997,7,24,417.21
2762,1997,7,25,416.84
2763,1997,7,26,
2764,1997,7,27,
2765,1997,7,28,416.98
2766,1997,7,29,416.95
2767,1997,7,30,416.66
2768,1997,7,31,416.78
2769,1997,8,1,416.87
2770,1997,8,2,
2771,1997,8,3,
2772,1997,8,4,417.1
2773,1997,8,5,416.82
2774,1997,8,6,415.99
2775,1997,8,7,414.88
2776,1997,8,8,413.7
2777,1997,8,9,
2778,1997,8,10,
2779,1997,8,11,413.23
2780,1997,8,12,413.05
2781,1997,8,13,413.94
2782,1997,8,14,413.11
2783,1997,8,15,
2784,1997,8,16,
2785,1997,8,17,
2786,1997,8,18,413.72
2787,1997,8,19,414.13
2788,1997,8,20,414.61
2789,1997,8,21,414.31
2790,1997,8,22,414.49
2791,1997,8,23,
2792,1997,8,24,
2793,1997,8,25,415.79
2794,1997,8,26,416.22
2795,1997,8,27,415.27
2796,1997,8,28,415.09
2797,1997,8,29,414.73
2798,1997,8,30,
2799,1997,8,31,
2800,1997,9,1,415.19
2801,1997,9,2,415.72
2802,1997,9,3,415.96
2803,1997,9,4,416.05
2804,1997,9,5,415.3
2805,1997,9,6,
2806,1997,9,7,
2807,1997,9,8,415.13
2808,1997,9,9,414.89
2809,1997,9,10,414.29
2810,1997,9,11,
2811,1997,9,12,414.4
2812,1997,9,13,
2813,1997,9,14,
2814,1997,9,15,414.61
2815,1997,9,16,414.65
2816,1997,9,17,414.04
2817,1997,9,18,
2818,1997,9,19,
2819,1997,9,20,
2820,1997,9,21,
2821,1997,9,22,414.71
2822,1997,9,23,414.24
2823,1997,9,24,414.43
2824,1997,9,25,414.6
2825,1997,9,26,414.71
2826,1997,9,27,
2827,1997,9,28,
2828,1997,9,29,414.96
2829,1997,9,30,415.2
2830,1997,10,1,414.47
2831,1997,10,2,414.31
2832,1997,10,3,414.03
2833,1997,10,4,
2834,1997,10,5,
2835,1997,10,6,414.55
2836,1997,10,7,414.61
2837,1997,10,8,414.57
2838,1997,10,9,413.91
2839,1997,10,10,413.56
2840,1997,10,11,
2841,1997,10,12,
2842,1997,10,13,413.92
2843,1997,10,14,413.7
2844,1997,10,15,412.86
2845,1997,10,16,412.71
2846,1997,10,17,412.34
2847,1997,10,18,
2848,1997,10,19,
2849,1997,10,20,412.06
2850,1997,10,21,412.08
2851,1997,10,22,411.85
2852,1997,10,23,412.09
2853,1997,10,24,412.34
2854,1997,10,25,
2855,1997,10,26,
2856,1997,10,27,413.14
2857,1997,10,28,416.39
2858,1997,10,29,425.58
2859,1997,10,30,415.56
2860,1997,10,31,420.87
2861,1997,11,1,
2862,1997,11,2,
2863,1997,11,3,421.14
2864,1997,11,4,418.58
2865,1997,11,5,419.44
2866,1997,11,6,418.2
2867,1997,11,7,418.73
2868,1997,11,8,
2869,1997,11,9,
2870,1997,11,10,425.06
2871,1997,11,11,421.54
2872,1997,11,12,424.37
2873,1997,11,13,426.01
2874,1997,11,14,424.0
2875,1997,11,15,
2876,1997,11,16,
2877,1997,11,17,424.91
2878,1997,11,18,423.28
